Type,Epoch,beta,latent_dim,Nfield,tot_loss,rec_loss,kl_loss,E_k,R,time
v5,300,0.001,10,25999,0.004,0.0015,2.5422,98.51,0.9732,1217.0
v5,300,0.0025,10,25999,0.0072,0.0024,1.9196,97.5,0.9815,1234.0
v5,300,0.005,10,25999,0.0114,0.0036,1.5582,96.3431,0.9909,1221.0
v5,300,0.01,10,25999,0.0184,0.0055,1.2958,94.3761,0.9881,1228.0
v5,300,0.05,10,25999,5.5945,0.0998,109.8946,-1.3567,0.0,1239.0
v5,300,0.1,10,25999,0.0985,0.0985,0.0,-0.0023,-0.0,1232.0
v5,300,1.0,10,25999,0.0985,0.0985,0.0,-0.002,0.0001,1233.0
v5,300,0.0025,15,25999,0.0061,0.002,1.61,97.9868,0.9537,1229.0
v5,300,0.0025,20,25999,0.0053,0.0018,1.4,98.1104,0.9094,1221.0
v5,300,0.0025,25,25999,0.0046,0.0016,1.2024,98.3391,0.0096,1241.0
v5,300,0.0025,30,25999,0.004,0.0014,1.0383,98.5781,-0.0028,1196.0
v5,300,0.0025,10,6499,0.005,0.0015,1.4182,15.0401,0.7842,336.0
v5,300,0.0025,10,12999,0.0059,0.0018,1.6485,46.4911,0.866,680.0
v5,300,0.0025,10,19499,0.0065,0.0021,1.7822,74.0238,0.9372,1004.0
v45,300,0.001,10,25999,0.0047,0.002,2.7135,98.0063,0.9688,1189.0
v45,300,0.0025,10,25999,0.0081,0.003,2.0459,96.9024,0.9723,1194.0
v45,300,0.005,10,25999,0.0127,0.0044,1.6456,95.5471,0.9748,1160.0
v45,300,0.01,10,25999,0.02,0.0066,1.3353,93.5152,0.9901,1198.0
v4,300,0.001,10,25999,0.0058,0.0029,2.9101,97.0201,0.9869,1195.0
v4,300,0.0025,10,25999,0.0096,0.0041,2.1935,95.8848,0.9848,1173.0
v4,300,0.005,10,25999,0.0143,0.0057,1.7368,94.3348,0.982,1187.0
v4,300,0.01,10,25999,0.0221,0.0082,1.3891,91.5711,0.9882,1173.0
v4,300,0.001,10,6499,0.0039,0.0016,2.3027,21.774,0.7263,328.0
v4,300,0.001,10,19499,0.0052,0.0024,2.7647,72.908,0.9437,997.0
v5,300,0.0025,10,25999,0.0072,0.0024,1.9281,97.5935,0.9641,1176.0
v5,300,0.0025,10,25999,0.0072,0.0024,1.924,97.546,0.9641,1234.0
