Type,N_field,Epoch,beta,latent_dim,tot_loss,rec_loss,kl_loss,E_k,R,time
v4,25999,300,0.0001,10,0.0023,0.0018,4.5354,98.1543,0.988,1160.0
v4,25999,300,0.0005,10,0.0042,0.0024,3.4378,97.524,0.9861,1188.0
v4,25999,300,0.001,10,0.0058,0.0029,2.9101,97.0153,0.9869,1195.0
v4,25999,300,0.0025,10,0.0096,0.0041,2.1935,95.8863,0.9848,1173.0
v4,25999,300,0.005,10,0.0143,0.0057,1.7368,94.3277,0.982,1187.0
v4,25999,300,0.01,10,0.0221,0.0082,1.3891,91.5769,0.9882,1173.0
v35,25999,300,0.0001,10,0.0042,0.0037,4.854,96.2244,0.9862,935.0
v35,25999,300,0.0005,10,0.0063,0.0045,3.636,95.4256,0.9824,914.0
v35,25999,300,0.001,10,0.0081,0.005,3.117,94.8735,0.981,929.0
v35,25999,300,0.0025,10,0.0123,0.0064,2.3765,93.5267,0.977,927.0
v35,25999,300,0.005,10,0.0175,0.0082,1.8644,91.7372,0.9768,961.0
v55,25999,300,0.01,10,0.0175,0.0048,1.2703,95.0651,0.9815,1393.0
v45,25999,300,0.001,10,0.0047,0.002,2.7135,98.0054,0.9688,1189.0
v45,25999,300,0.0025,10,0.0081,0.003,2.0455,96.88,0.9722,1209.0
v45,25999,300,0.005,10,0.0127,0.0044,1.6456,95.5386,0.9748,1160.0
v45,25999,300,0.01,10,0.02,0.0066,1.3353,93.468,0.9901,1198.0
v45,25999,300,0.0001,10,0.0014,0.001,4.3224,98.9708,0.9824,1231.0
v45,25999,300,0.0005,10,0.0032,0.0015,3.2483,98.4456,0.9719,1210.0
v5,25999,300,0.001,10,0.004,0.0015,2.5422,98.5071,0.9732,1217.0
v5,25999,300,0.0025,10,0.0072,0.0024,1.9196,97.5066,0.9815,1234.0
v5,25999,300,0.005,10,0.0114,0.0036,1.5582,96.3457,0.9909,1221.0
v5,25999,300,0.01,10,0.0184,0.0055,1.2958,94.3834,0.9881,1228.0
